x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5
21.140624,0.2,-2.616126036,21.140624,0.2,-2.614766485,4271.567631,0.06,-52.39941782,21.140624,0.2,-2.605441227,21.140624,0.2,-2.977489233
21.140624,0.31,-2.657300523,21.140624,0.31,-2.656720097,739.656528,0.05,-52.39308975,21.140624,0.31,-2.648409171,21.140624,0.31,-2.992341926
21.140624,0.32,-2.658286891,21.140624,0.32,-2.660453768,1409.433597,0.05,-52.38939691,21.140624,0.32,-2.656876177,21.140624,0.32,-2.992043024
21.140624,0.33,-2.662139892,21.140624,0.33,-2.66455349,91.96667286,0.05,-52.3805322,21.140624,0.33,-2.662546424,21.140624,0.33,-2.991755563
21.140624,0.34,-2.666232915,21.140624,0.34,-2.669141471,96.86040662,0.07,-52.31966792,21.140624,0.34,-2.664475165,21.140624,0.34,-2.991977751
21.140624,0.35,-2.670659165,21.140624,0.35,-2.673087588,62.51688158,0.05,-52.31958091,21.140624,0.35,-2.668741637,21.140624,0.35,-2.993160292
21.140624,0.36,-2.674317425,21.140624,0.36,-2.675323342,1712.589156,0.05,-52.31599684,21.140624,0.36,-2.674813963,21.140624,0.36,-2.995364501
21.140624,0.37,-2.677112491,21.140624,0.37,-2.679512888,325.9841878,0.06,-52.30684687,21.140624,0.37,-2.67963852,21.140624,0.37,-2.994323638
21.140624,0.38,-2.679833258,21.140624,0.38,-2.683951075,2531.765381,0.06,-52.26284842,21.140624,0.38,-2.684676998,21.140624,0.38,-2.991096695
21.140624,0.39,-2.684249345,21.140624,0.39,-2.686198291,3287.864806,0.06,-52.22998679,21.140624,0.39,-2.686355293,21.140624,0.39,-2.995193454
21.140624,0.3,-2.652463547,21.140624,0.3,-2.651792526,1160.575499,0.06,-52.215851,21.140624,0.3,-2.644295538,21.140624,0.3,-2.991262972
21.140624,0.41,-2.690187146,21.140624,0.41,-2.69487639,1409.433597,0.06,-52.20157447,21.140624,0.41,-2.695658184,21.140624,0.41,-2.995024135
21.140624,0.42,-2.693530065,21.140624,0.42,-2.69794644,956.2897738,0.06,-52.18888578,21.140624,0.42,-2.697665791,21.140624,0.42,-2.99475846
21.140624,0.43,-2.694711124,21.140624,0.43,-2.702769912,504.9508815,0.05,-52.17665745,21.140624,0.43,-2.699187435,21.140624,0.43,-2.995932767
21.140624,0.44,-2.698731901,21.140624,0.44,-2.705126174,2884.979876,0.06,-52.17200515,21.140624,0.44,-2.705344722,21.140624,0.44,-2.99624493
21.140624,0.45,-2.702051347,21.140624,0.45,-2.707579161,3079.798508,0.06,-52.15725638,21.140624,0.45,-2.709786739,21.140624,0.45,-2.995124273
21.140624,0.46,-2.705623302,21.140624,0.46,-2.710462579,5199.202003,0.06,-52.12939212,21.140624,0.46,-2.712944219,21.140624,0.46,-2.994934637
21.140624,0.47,-2.707165549,21.140624,0.47,-2.714544757,1712.589156,0.06,-52.10840841,21.140624,0.47,-2.716345946,21.140624,0.47,-2.995923206
21.140624,0.48,-2.710205034,21.140624,0.48,-2.718232425,573.1466143,0.05,-52.0822503,21.140624,0.48,-2.720225418,21.140624,0.48,-2.996118189
21.140624,0.49,-2.71336002,21.140624,0.49,-2.721418139,504.9508815,0.06,-52.06348675,21.140624,0.49,-2.722946665,21.140624,0.49,-2.994614827
21.140624,0.4,-2.685738286,21.140624,0.4,-2.69097926,1238.134633,0.06,-52.05695933,21.140624,0.4,-2.690103039,21.140624,0.4,-2.995875133
21.140624,0.51,-2.71863167,21.140624,0.51,-2.728381047,12201.17367,0.07,-52.04038989,21.140624,0.51,-2.730309515,21.140624,0.51,-2.994778784
21.140624,0.52,-2.721368837,21.140624,0.52,-2.731426299,71.79348827,0.07,-52.03333791,21.140624,0.52,-2.732264916,21.140624,0.52,-2.995094968
21.140624,0.53,-2.724445214,21.140624,0.53,-2.734993515,392.745786,0.05,-52.02691833,21.140624,0.53,-2.736750139,21.140624,0.53,-2.993849581
21.140624,0.54,-2.726836923,21.140624,0.54,-2.737778681,213.0635179,0.06,-52.02126028,21.140624,0.54,-2.74083321,21.140624,0.54,-2.994407032
21.140624,0.55,-2.729157949,21.140624,0.55,-2.740611588,91.96667286,0.06,-52.00502011,21.140624,0.55,-2.742866643,21.140624,0.55,-2.994395445
21.140624,0.56,-2.732694609,21.140624,0.56,-2.744242635,10699.3945,0.07,-52.00410212,21.140624,0.56,-2.745726566,21.140624,0.56,-2.993217462
21.140624,0.57,-2.735237773,21.140624,0.57,-2.746981177,573.1466143,0.06,-51.98273767,21.140624,0.57,-2.750829697,21.140624,0.57,-2.991436004
21.140624,0.58,-2.738409509,21.140624,0.58,-2.749696227,288.2603451,0.06,-51.9635718,21.140624,0.58,-2.753532292,21.140624,0.58,-2.991670759
21.140624,0.59,-2.739727943,21.140624,0.59,-2.752592125,418.0924994,0.06,-51.96176573,21.140624,0.59,-2.757512223,21.140624,0.59,-2.991617122
21.140624,0.5,-2.715391848,21.140624,0.5,-2.724179396,79.07689576,0.07,-51.93429184,21.140624,0.5,-2.72723932,21.140624,0.5,-2.99467418
21.140624,0.6,-2.742614141,21.140624,0.6,-2.75595394,1087.954587,0.06,-51.92883334,21.140624,0.6,-2.760646253,21.140624,0.6,-2.991084679
21.21818643,0.05,-2.490581862,21.21818643,0.05,-2.471956316,10019.43305,0.07,-51.92552245,21.21818643,0.05,-2.452958218,21.21818643,0.05,-2.887989854
21.21818643,0.06,-2.490459579,21.21818643,0.06,-2.471505987,11425.59332,0.07,-51.91220262,21.21818643,0.06,-2.465714738,21.21818643,0.06,-2.880525101
21.21818643,0.07,-2.4876849,21.21818643,0.07,-2.479759439,610.760584,0.05,-51.90980816,21.21818643,0.07,-2.472620948,21.21818643,0.07,-2.886042686
21.21818643,0.08,-2.489771572,21.21818643,0.08,-2.480476427,325.9841878,0.05,-51.907389,21.21818643,0.08,-2.472663768,21.21818643,0.08,-2.899201807
21.21818643,0.09,-2.50109551,21.21818643,0.09,-2.490001889,392.745786,0.07,-51.90724025,21.21818643,0.09,-2.479124272,21.21818643,0.09,-2.915968712
21.21818643,0.11,-2.508431058,21.21818643,0.11,-2.500564074,693.8357004,0.05,-51.89979375,21.21818643,0.11,-2.497650256,21.21818643,0.11,-2.903239926
21.21818643,0.12,-2.509743838,21.21818643,0.12,-2.502528611,9382.765028,0.07,-51.87790256,21.21818643,0.12,-2.499879934,21.21818643,0.12,-2.896110105
21.21818643,0.13,-2.51611668,21.21818643,0.13,-2.508190754,1320.967788,0.06,-51.86564172,21.21818643,0.13,-2.500907695,21.21818643,0.13,-2.901970506
21.21818643,0.14,-2.521469971,21.21818643,0.14,-2.512273125,840.8575076,0.06,-51.86224197,21.21818643,0.14,-2.501915426,21.21818643,0.14,-2.906970211
21.21818643,0.15,-2.527531855,21.21818643,0.15,-2.516084978,896.6758182,0.06,-51.85047575,21.21818643,0.15,-2.511951847,21.21818643,0.15,-2.906794592
21.21818643,0.16,-2.53033641,21.21818643,0.16,-2.521345458,4000.868569,0.07,-51.78371665,21.21818643,0.16,-2.508500415,21.21818643,0.16,-2.911176926
21.21818643,0.17,-2.535366652,21.21818643,0.17,-2.528961627,113.6303045,0.06,-51.74773458,21.21818643,0.17,-2.512089285,21.21818643,0.17,-2.916694199
21.21818643,0.18,-2.537391507,21.21818643,0.18,-2.53168545,102.0869143,0.06,-51.70522111,21.21818643,0.18,-2.513928753,21.21818643,0.18,-2.913501008
21.21818643,0.19,-2.541218591,21.21818643,0.19,-2.536601724,4000.868569,0.06,-51.7033236,21.21818643,0.19,-2.520094854,21.21818643,0.19,-2.914926636
21.21818643,0.1,-2.509035349,21.21818643,0.1,-2.498308574,788.5931719,0.05,-51.66190911,21.21818643,0.1,-2.495692149,21.21818643,0.1,-2.897689544
21.21818643,0.21,-2.552280945,21.21818643,0.21,-2.547657532,7216.463276,0.07,-51.65318221,21.21818643,0.21,-2.529311062,21.21818643,0.21,-2.919359911
21.21818643,0.22,-2.554449074,21.21818643,0.22,-2.551604429,2702.565427,0.07,-51.60197484,21.21818643,0.22,-2.534320071,21.21818643,0.22,-2.918496338
21.21818643,0.23,-2.558626878,21.21818643,0.23,-2.555140329,5551.387739,0.07,-51.59198136,21.21818643,0.23,-2.537621752,21.21818643,0.23,-2.920130764
21.21818643,0.24,-2.561366897,21.21818643,0.24,-2.56036066,71.79348827,0.08,-51.56605328,21.21818643,0.24,-2.54648065,21.21818643,0.24,-2.923053785
21.21818643,0.25,-2.564157741,21.21818643,0.25,-2.563367255,8786.633921,0.07,-51.55982603,21.21818643,0.25,-2.548849475,21.21818643,0.25,-2.924250149
21.21818643,0.26,-2.569736452,21.21818643,0.26,-2.567757423,75.31544547,0.08,-51.52432489,21.21818643,0.26,-2.553788781,21.21818643,0.26,-2.924042807
21.21818643,0.27,-2.575907323,21.21818643,0.27,-2.573142262,75.31544547,0.06,-51.5014988,21.21818643,0.27,-2.559442077,21.21818643,0.27,-2.926623393
21.21818643,0.28,-2.578983207,21.21818643,0.28,-2.575669814,54.90178552,0.05,-51.47923353,21.21818643,0.28,-2.564816752,21.21818643,0.28,-2.928868208
21.21818643,0.29,-2.581167968,21.21818643,0.29,-2.579084176,6758.261494,0.07,-51.44368246,21.21818643,0.29,-2.5720709,21.21818643,0.29,-2.929810215
21.21818643,0.2,-2.54908248,21.21818643,0.2,-2.541321653,8228.458728,0.07,-51.4332923,21.21818643,0.2,-2.525718454,21.21818643,0.2,-2.918131109
21.21818643,0.31,-2.588968734,21.21818643,0.31,-2.58772965,68.49577553,0.06,-51.42127846,21.21818643,0.31,-2.575852581,21.21818643,0.31,-2.930273761
21.21818643,0.32,-2.59382059,21.21818643,0.32,-2.592100616,306.5020485,0.06,-51.41565055,21.21818643,0.32,-2.580132576,21.21818643,0.32,-2.933840006
21.21818643,0.33,-2.598240032,21.21818643,0.33,-2.596778779,7705.822779,0.07,-51.41439272,21.21818643,0.33,-2.583792788,21.21818643,0.33,-2.935082521
21.21818643,0.34,-2.602608279,21.21818643,0.34,-2.600760843,57.27510694,0.07,-51.40524243,21.21818643,0.34,-2.589370051,21.21818643,0.34,-2.935689588
21.21818643,0.35,-2.606333,21.21818643,0.35,-2.605303984,3287.864806,0.07,-51.39192112,21.21818643,0.35,-2.595049048,21.21818643,0.35,-2.935712251
21.21818643,0.36,-2.607405761,21.21818643,0.36,-2.60918144,71.79348827,0.06,-51.37731908,21.21818643,0.36,-2.598823853,21.21818643,0.36,-2.938640535
21.21818643,0.37,-2.612232162,21.21818643,0.37,-2.613486157,5927.522106,0.07,-51.36721418,21.21818643,0.37,-2.603231163,21.21818643,0.37,-2.938028662
21.21818643,0.38,-2.615806986,21.21818643,0.38,-2.61792677,79.07689576,0.06,-51.36344423,21.21818643,0.38,-2.608752881,21.21818643,0.38,-2.938208741
21.21818643,0.39,-2.618847035,21.21818643,0.39,-2.622167703,107.6688244,0.06,-51.35911984,21.21818643,0.39,-2.614175762,21.21818643,0.39,-2.938801184
21.21818643,0.3,-2.586272207,21.21818643,0.3,-2.584361674,96.86040662,0.06,-51.357577,21.21818643,0.3,-2.573718957,21.21818643,0.3,-2.929249169
21.21818643,0.41,-2.627232998,21.21818643,0.41,-2.628628145,65.40802953,0.07,-51.34212186,21.21818643,0.41,-2.621501579,21.21818643,0.41,-2.940964555
21.21818643,0.42,-2.630691695,21.21818643,0.42,-2.632868032,255.187358,0.06,-51.32679141,21.21818643,0.42,-2.625911183,21.21818643,0.42,-2.939856878
21.21818643,0.43,-2.63341788,21.21818643,0.43,-2.63693654,306.5020485,0.05,-51.32172624,21.21818643,0.43,-2.630238207,21.21818643,0.43,-2.940708812
21.21818643,0.44,-2.636378017,21.21818643,0.44,-2.640162389,474.0738591,0.05,-51.31807677,21.21818643,0.44,-2.636380599,21.21818643,0.44,-2.942289135
21.21818643,0.45,-2.639408903,21.21818643,0.45,-2.643785417,62.51688158,0.06,-51.30211608,21.21818643,0.45,-2.640672456,21.21818643,0.45,-2.942529049
21.21818643,0.46,-2.643350994,21.21818643,0.46,-2.64631553,189.2613148,0.05,-51.29185173,21.21818643,0.46,-2.644361254,21.21818643,0.46,-2.941155139
21.21818643,0.47,-2.646768958,21.21818643,0.47,-2.650406525,96.86040662,0.05,-51.25204188,21.21818643,0.47,-2.648672996,21.21818643,0.47,-2.941637735
21.21818643,0.48,-2.648554763,21.21818643,0.48,-2.653699729,445.1627894,0.08,-51.2513309,21.21818643,0.48,-2.65308923,21.21818643,0.48,-2.94364719
21.21818643,0.49,-2.652200175,21.21818643,0.49,-2.657941137,5199.202003,0.07,-51.23536901,21.21818643,0.49,-2.657000731,21.21818643,0.49,-2.942976031
21.21818643,0.4,-2.623744451,21.21818643,0.4,-2.625705899,788.5931719,0.07,-51.23466685,21.21818643,0.4,-2.616842186,21.21818643,0.4,-2.940081393
21.21818643,0.51,-2.658155976,21.21818643,0.51,-2.665592265,255.187358,0.07,-51.2328554,21.21818643,0.51,-2.663811712,21.21818643,0.51,-2.943615907
21.21818643,0.52,-2.662052009,21.21818643,0.52,-2.667860941,6329.233609,0.07,-51.21446384,21.21818643,0.52,-2.668526858,21.21818643,0.52,-2.94307715
21.21818643,0.53,-2.664966719,21.21818643,0.53,-2.670969597,75.31544547,0.05,-51.2039816,21.21818643,0.53,-2.67284564,21.21818643,0.53,-2.943037116
21.21818643,0.54,-2.666848796,21.21818643,0.54,-2.6745953,4560.67423,0.07,-51.20049249,21.21818643,0.54,-2.675663053,21.21818643,0.54,-2.943644886
21.21818643,0.55,-2.669739471,21.21818643,0.55,-2.677860269,12201.17367,0.08,-51.18529663,21.21818643,0.55,-2.680443086,21.21818643,0.55,-2.942701365
21.21818643,0.56,-2.672960542,21.21818643,0.56,-2.680785591,4869.440078,0.07,-51.18520716,21.21818643,0.56,-2.684844494,21.21818643,0.56,-2.942524927
21.21818643,0.57,-2.676068699,21.21818643,0.57,-2.684137991,126.7969724,0.06,-51.15656581,21.21818643,0.57,-2.68818897,21.21818643,0.57,-2.943260058
21.21818643,0.58,-2.678795807,21.21818643,0.58,-2.686862909,189.2613148,0.06,-51.15560623,21.21818643,0.58,-2.691411257,21.21818643,0.58,-2.943171698
21.21818643,0.59,-2.681421527,21.21818643,0.59,-2.689434921,1019.957478,0.06,-51.14601166,21.21818643,0.59,-2.695760382,21.21818643,0.59,-2.939724063
21.21818643,0.5,-2.655289267,21.21818643,0.5,-2.661074936,141.8151899,0.05,-51.12338043,21.21818643,0.5,-2.66007849,21.21818643,0.5,-2.943156632
21.21818643,0.6,-2.683895203,21.21818643,0.6,-2.692643731,1604.821308,0.07,-51.11190162,21.21818643,0.6,-2.699658184,21.21818643,0.6,-2.942261453
21.30102311,0.05,-2.411155385,21.30102311,0.05,-2.400460331,59.80981421,0.08,-51.08619337,21.30102311,0.05,-2.370464677,21.30102311,0.05,-2.806918882
21.30102311,0.06,-2.408744518,21.30102311,0.06,-2.406493387,2222.097607,0.07,-51.0849284,21.30102311,0.06,-2.376513829,21.30102311,0.06,-2.817310693
